,Date,City,Tariff,Price,Driver id,Rate,Order merhod,User id
51,2023-06-08T00:00:00.000000000,Vladivostok,Econom,2202,577DR,3,Call-center,2879USR
52,2023-06-10T00:00:00.000000000,Krasnodar,Businnes,1213,717DR,4,iOS,1769USR
53,2023-06-24T00:00:00.000000000,Vladivostok,Minivan,4124,372DR,3,Call-center,1202USR
54,2023-06-11T00:00:00.000000000,Samara,Minivan,3196,863DR,1,Browser,3796USR
55,2023-06-21T00:00:00.000000000,Vladivostok,Businnes,8459,839DR,3,Android,16USR
56,2023-06-17T00:00:00.000000000,Kazan,Minivan,4960,819DR,5,Browser,2121USR
57,2023-06-13T00:00:00.000000000,Krasnodar,Businnes,3791,288DR,4,iOS,883USR
58,2023-06-11T00:00:00.000000000,Krasnodar,Minivan,3778,127DR,5,Android,3087USR
59,2023-06-13T00:00:00.000000000,Kazan,Businnes,6245,248DR,2,Browser,3753USR
60,2023-06-28T00:00:00.000000000,Kaliningrad,Uber,5916,706DR,2,Browser,3332USR
61,2023-06-25T00:00:00.000000000,Barnaul,Minivan,1923,160DR,5,Android,321USR
62,2023-06-10T00:00:00.000000000,Vladivostok,Econom,476,252DR,1,Call-center,3033USR
63,2023-06-27T00:00:00.000000000,Tver,Businnes,6479,203DR,3,Call-center,2415USR
64,2023-06-18T00:00:00.000000000,Ufa,Econom,2673,182DR,4,iOS,3392USR
65,2023-06-28T00:00:00.000000000,Vladivostok,Econom,2820,552DR,4,Browser,3800USR
66,2023-06-28T00:00:00.000000000,Moscow,Econom,2348,290DR,3,Call-center,3821USR
67,2023-06-22T00:00:00.000000000,Barnaul,Businnes,1383,593DR,1,iOS,556USR
68,2023-06-08T00:00:00.000000000,Barnaul,Businnes,2392,584DR,3,Call-center,2243USR
69,2023-06-26T00:00:00.000000000,Moscow,Uber,5467,571DR,2,Android,2167USR
70,2023-06-29T00:00:00.000000000,Sochi,Econom,1170,887DR,2,iOS,293USR
71,2023-06-26T00:00:00.000000000,Samara,Businnes,3322,635DR,3,iOS,3636USR
72,2023-06-13T00:00:00.000000000,Kazan,Businnes,8467,759DR,3,Android,3982USR
73,2023-06-09T00:00:00.000000000,Kazan,Businnes,5266,557DR,5,iOS,359USR
74,2023-06-11T00:00:00.000000000,Krasnodar,Uber,1127,215DR,4,iOS,355USR
75,2023-06-22T00:00:00.000000000,Sochi,Businnes,6692,61DR,5,Android,2948USR
76,2023-06-11T00:00:00.000000000,Sochi,Econom,160,427DR,2,Call-center,61USR
77,2023-06-23T00:00:00.000000000,Ufa,Econom,757,374DR,4,Android,1895USR
78,2023-06-18T00:00:00.000000000,Kazan,Econom,1141,836DR,2,iOS,3677USR
79,2023-06-20T00:00:00.000000000,Kaliningrad,Uber,1800,10DR,5,Android,3205USR
80,2023-06-14T00:00:00.000000000,Vladivostok,Uber,531,252DR,4,Call-center,2837USR
81,2023-06-02T00:00:00.000000000,Tver,Minivan,2165,12DR,3,iOS,3356USR
82,2023-06-30T00:00:00.000000000,Krasnodar,Minivan,4943,876DR,4,Browser,2610USR
83,2023-06-09T00:00:00.000000000,Sochi,Minivan,4355,572DR,2,Android,1452USR
84,2023-06-08T00:00:00.000000000,Tver,Minivan,5734,39DR,4,Browser,2020USR
85,2023-06-26T00:00:00.000000000,Kaliningrad,Businnes,6002,534DR,3,Browser,2054USR
86,2023-06-25T00:00:00.000000000,Ufa,Econom,899,26DR,4,iOS,2355USR
87,2023-06-24T00:00:00.000000000,Saint-Petersburg,Uber,2221,195DR,2,iOS,1457USR
88,2023-06-11T00:00:00.000000000,Moscow,Businnes,8287,680DR,3,iOS,3266USR
89,2023-06-06T00:00:00.000000000,Barnaul,Businnes,1993,709DR,5,iOS,2329USR
90,2023-06-16T00:00:00.000000000,Kazan,Businnes,8091,569DR,1,Android,2129USR
91,2023-06-14T00:00:00.000000000,Tver,Uber,5420,505DR,4,Android,3318USR
92,2023-06-19T00:00:00.000000000,Barnaul,Businnes,8078,554DR,4,Call-center,1464USR
93,2023-06-24T00:00:00.000000000,Ufa,Uber,3161,709DR,2,Call-center,2425USR
94,2023-06-05T00:00:00.000000000,Kaliningrad,Econom,838,593DR,5,Call-center,292USR
95,2023-06-13T00:00:00.000000000,Kazan,Minivan,4245,664DR,3,iOS,1043USR
96,2023-06-11T00:00:00.000000000,Krasnodar,Minivan,6073,640DR,1,iOS,2745USR
97,2023-06-12T00:00:00.000000000,Kazan,Uber,4416,827DR,2,Browser,2190USR
98,2023-06-18T00:00:00.000000000,Ufa,Businnes,8550,754DR,2,Browser,3596USR
99,2023-06-16T00:00:00.000000000,Saint-Petersburg,Econom,1191,197DR,2,Android,1127USR
100,2023-06-06T00:00:00.000000000,Kaliningrad,Businnes,4175,820DR,2,iOS,3334USR
101,2023-06-14T00:00:00.000000000,Moscow,Minivan,4832,10DR,4,Android,1146USR
102,2023-06-09T00:00:00.000000000,Vladivostok,Uber,3411,18DR,1,Android,2964USR
103,2023-06-01T00:00:00.000000000,Vladivostok,Uber,2366,831DR,5,Call-center,2833USR
104,2023-06-28T00:00:00.000000000,Moscow,Econom,1671,197DR,3,Call-center,858USR
105,2023-06-30T00:00:00.000000000,Tver,Econom,1037,180DR,3,iOS,1666USR
106,2023-06-12T00:00:00.000000000,Samara,Minivan,6499,493DR,5,Android,3449USR
107,2023-06-26T00:00:00.000000000,Tver,Businnes,3369,230DR,3,Android,1642USR
108,2023-06-15T00:00:00.000000000,Vladivostok,Uber,5804,53DR,5,Call-center,2967USR
109,2023-06-11T00:00:00.000000000,Saint-Petersburg,Minivan,990,367DR,4,iOS,496USR
110,2023-06-26T00:00:00.000000000,Samara,Uber,4757,346DR,2,Android,1569USR
111,2023-06-15T00:00:00.000000000,Moscow,Businnes,6362,610DR,4,Android,1984USR
112,2023-06-30T00:00:00.000000000,Barnaul,Minivan,7240,761DR,4,Call-center,1742USR
113,2023-06-12T00:00:00.000000000,Sochi,Uber,2252,776DR,3,Call-center,2910USR
114,2023-06-14T00:00:00.000000000,Barnaul,Uber,4776,229DR,3,Android,631USR
115,2023-06-30T00:00:00.000000000,Samara,Uber,3324,835DR,2,Browser,3662USR
116,2023-06-20T00:00:00.000000000,Samara,Businnes,7223,491DR,1,Browser,329USR
117,2023-06-13T00:00:00.000000000,Kazan,Econom,1088,858DR,3,iOS,1146USR
118,2023-06-01T00:00:00.000000000,Barnaul,Uber,5137,244DR,5,Browser,3740USR
119,2023-06-15T00:00:00.000000000,Kazan,Uber,5383,440DR,4,Android,3578USR
120,2023-06-16T00:00:00.000000000,Sochi,Uber,3841,597DR,2,Browser,3190USR
121,2023-06-12T00:00:00.000000000,Kaliningrad,Minivan,5002,385DR,5,Android,2494USR
122,2023-06-01T00:00:00.000000000,Ufa,Minivan,1018,56DR,1,Call-center,1256USR
123,2023-06-22T00:00:00.000000000,Saint-Petersburg,Minivan,3221,655DR,2,Call-center,545USR
124,2023-06-07T00:00:00.000000000,Sochi,Minivan,6787,632DR,1,iOS,1638USR
125,2023-06-02T00:00:00.000000000,Sochi,Minivan,3797,246DR,5,Call-center,3972USR
126,2023-06-23T00:00:00.000000000,Ufa,Minivan,7286,385DR,4,Android,1019USR
127,2023-06-18T00:00:00.000000000,Kazan,Econom,2093,517DR,3,iOS,2163USR
128,2023-06-26T00:00:00.000000000,Tver,Minivan,4400,255DR,2,iOS,3201USR
129,2023-06-11T00:00:00.000000000,Kaliningrad,Businnes,1035,763DR,4,Browser,2967USR
130,2023-06-14T00:00:00.000000000,Ufa,Minivan,2189,792DR,1,Call-center,3604USR
131,2023-06-23T00:00:00.000000000,Tver,Uber,1950,127DR,1,Call-center,3676USR
132,2023-06-03T00:00:00.000000000,Samara,Minivan,5126,860DR,5,Android,2947USR
133,2023-06-22T00:00:00.000000000,Sochi,Econom,2383,837DR,3,Android,1311USR
134,2023-06-25T00:00:00.000000000,Samara,Econom,316,763DR,2,Android,1056USR
135,2023-06-10T00:00:00.000000000,Vladivostok,Businnes,6374,695DR,5,Android,89USR
136,2023-06-21T00:00:00.000000000,Saint-Petersburg,Businnes,8915,826DR,2,iOS,320USR
137,2023-06-08T00:00:00.000000000,Moscow,Minivan,2027,24DR,5,iOS,2904USR
138,2023-06-21T00:00:00.000000000,Vladivostok,Businnes,7584,142DR,5,Browser,2144USR
139,2023-06-26T00:00:00.000000000,Krasnodar,Uber,925,661DR,1,Android,3047USR
140,2023-06-21T00:00:00.000000000,Barnaul,Minivan,2910,295DR,3,Browser,3999USR
141,2023-06-16T00:00:00.000000000,Tver,Minivan,3970,608DR,1,Call-center,3539USR
142,2023-06-24T00:00:00.000000000,Krasnodar,Businnes,4011,747DR,5,Browser,728USR
143,2023-06-22T00:00:00.000000000,Ufa,Minivan,4071,793DR,3,Browser,504USR
144,2023-06-08T00:00:00.000000000,Ufa,Uber,885,577DR,5,Call-center,1398USR
145,2023-06-11T00:00:00.000000000,Kaliningrad,Minivan,5335,322DR,3,iOS,1285USR
146,2023-06-22T00:00:00.000000000,Barnaul,Minivan,6286,238DR,1,Android,501USR
147,2023-06-09T00:00:00.000000000,Ufa,Uber,2448,246DR,1,Browser,2479USR
148,2023-06-20T00:00:00.000000000,Vladivostok,Uber,5212,535DR,1,Android,2193USR
149,2023-06-15T00:00:00.000000000,Vladivostok,Econom,109,385DR,4,Browser,3306USR
150,2023-06-01T00:00:00.000000000,Moscow,Minivan,4815,890DR,1,iOS,2118USR
151,2023-06-23T00:00:00.000000000,Vladivostok,Minivan,1173,824DR,1,Android,716USR
152,2023-06-07T00:00:00.000000000,Vladivostok,Econom,2873,88DR,3,Call-center,1086USR
153,2023-06-06T00:00:00.000000000,Ufa,Minivan,3606,384DR,4,Call-center,3663USR
154,2023-06-06T00:00:00.000000000,Sochi,Econom,2623,54DR,1,Call-center,1785USR
155,2023-06-12T00:00:00.000000000,Tver,Econom,1871,520DR,5,Android,2513USR
156,2023-06-24T00:00:00.000000000,Barnaul,Businnes,8895,594DR,1,Android,385USR
157,2023-06-17T00:00:00.000000000,Saint-Petersburg,Businnes,4002,412DR,4,iOS,659USR
158,2023-06-15T00:00:00.000000000,Moscow,Minivan,5178,559DR,4,iOS,612USR
159,2023-06-05T00:00:00.000000000,Tver,Businnes,2382,275DR,5,iOS,1312USR
160,2023-06-18T00:00:00.000000000,Kaliningrad,Businnes,1025,100DR,3,iOS,1858USR
161,2023-06-22T00:00:00.000000000,Barnaul,Econom,553,871DR,5,iOS,1078USR
162,2023-06-27T00:00:00.000000000,Ufa,Minivan,6576,808DR,2,Android,554USR
163,2023-06-12T00:00:00.000000000,Samara,Uber,1478,400DR,2,Android,2306USR
164,2023-06-01T00:00:00.000000000,Kaliningrad,Minivan,1410,214DR,3,Call-center,1347USR
165,2023-06-04T00:00:00.000000000,Samara,Businnes,6323,427DR,1,iOS,2405USR
166,2023-06-01T00:00:00.000000000,Kazan,Minivan,1591,572DR,4,Browser,2440USR
167,2023-06-13T00:00:00.000000000,Sochi,Econom,1506,298DR,5,Browser,1483USR
168,2023-06-24T00:00:00.000000000,Tver,Uber,4470,371DR,3,iOS,2402USR
169,2023-06-02T00:00:00.000000000,Barnaul,Businnes,4502,679DR,3,iOS,736USR
170,2023-06-29T00:00:00.000000000,Barnaul,Minivan,5691,526DR,2,Android,3754USR
171,2023-06-21T00:00:00.000000000,Saint-Petersburg,Econom,2021,172DR,2,Android,3398USR
172,2023-06-02T00:00:00.000000000,Krasnodar,Minivan,1870,268DR,5,iOS,3145USR
173,2023-06-07T00:00:00.000000000,Vladivostok,Minivan,3238,186DR,1,Browser,1085USR
174,2023-06-17T00:00:00.000000000,Kazan,Econom,822,326DR,5,iOS,1752USR
175,2023-06-25T00:00:00.000000000,Moscow,Econom,341,302DR,3,Browser,771USR
176,2023-06-23T00:00:00.000000000,Krasnodar,Uber,3631,621DR,4,Call-center,3779USR
177,2023-06-13T00:00:00.000000000,Tver,Uber,3915,180DR,5,Call-center,2099USR
178,2023-06-30T00:00:00.000000000,Kazan,Econom,362,49DR,2,Call-center,229USR
179,2023-06-06T00:00:00.000000000,Ufa,Econom,2045,386DR,1,iOS,3956USR
180,2023-06-18T00:00:00.000000000,Kaliningrad,Econom,714,823DR,2,iOS,1711USR
181,2023-06-01T00:00:00.000000000,Samara,Businnes,7152,598DR,3,Browser,2641USR
182,2023-06-04T00:00:00.000000000,Barnaul,Uber,2087,364DR,5,iOS,2262USR
183,2023-06-18T00:00:00.000000000,Moscow,Businnes,5804,246DR,5,Browser,2586USR
184,2023-06-20T00:00:00.000000000,Sochi,Econom,591,137DR,3,Browser,139USR
185,2023-06-06T00:00:00.000000000,Ufa,Econom,1910,287DR,3,Android,2948USR
186,2023-06-30T00:00:00.000000000,Vladivostok,Uber,957,102DR,3,iOS,3674USR
187,2023-06-15T00:00:00.000000000,Barnaul,Uber,5161,871DR,3,Call-center,1881USR
188,2023-06-27T00:00:00.000000000,Barnaul,Minivan,746,517DR,5,Android,2292USR
189,2023-06-21T00:00:00.000000000,Kazan,Businnes,6702,7DR,3,Call-center,2848USR
190,2023-06-12T00:00:00.000000000,Vladivostok,Econom,1345,198DR,5,Android,1697USR
191,2023-06-13T00:00:00.000000000,Moscow,Econom,711,798DR,2,Call-center,1353USR
192,2023-06-16T00:00:00.000000000,Vladivostok,Uber,4952,815DR,2,Android,336USR
193,2023-06-01T00:00:00.000000000,Krasnodar,Uber,5369,866DR,1,Android,2666USR
194,2023-06-08T00:00:00.000000000,Saint-Petersburg,Minivan,2488,592DR,5,Call-center,2728USR
195,2023-06-18T00:00:00.000000000,Kazan,Econom,1753,509DR,5,Call-center,705USR
196,2023-06-03T00:00:00.000000000,Sochi,Econom,716,595DR,2,Android,294USR
197,2023-06-20T00:00:00.000000000,Krasnodar,Businnes,4082,808DR,4,Browser,165USR
198,2023-06-30T00:00:00.000000000,Kaliningrad,Econom,1461,476DR,2,Android,153USR
199,2023-06-24T00:00:00.000000000,Kaliningrad,Businnes,4634,338DR,2,Call-center,550USR
200,2023-06-13T00:00:00.000000000,Samara,Econom,1374,308DR,1,Android,226USR
201,2023-06-18T00:00:00.000000000,Kazan,Businnes,3133,158DR,5,Android,360USR
202,2023-06-17T00:00:00.000000000,Ufa,Minivan,4093,672DR,1,Android,2750USR
203,2023-06-12T00:00:00.000000000,Barnaul,Minivan,4636,700DR,5,Android,2223USR
204,2023-06-07T00:00:00.000000000,Vladivostok,Minivan,2363,348DR,5,Browser,1666USR
205,2023-06-07T00:00:00.000000000,Vladivostok,Minivan,4139,546DR,3,Call-center,2790USR
206,2023-06-02T00:00:00.000000000,Vladivostok,Minivan,6035,860DR,5,Browser,2777USR
207,2023-06-02T00:00:00.000000000,Sochi,Uber,1285,339DR,1,iOS,1564USR
208,2023-06-03T00:00:00.000000000,Sochi,Uber,4806,530DR,4,Call-center,2889USR
209,2023-06-25T00:00:00.000000000,Saint-Petersburg,Uber,1155,669DR,3,iOS,3450USR
210,2023-06-03T00:00:00.000000000,Saint-Petersburg,Uber,5118,743DR,3,Android,3069USR
211,2023-06-07T00:00:00.000000000,Kazan,Minivan,4819,241DR,4,Call-center,2753USR
212,2023-06-25T00:00:00.000000000,Saint-Petersburg,Uber,2506,516DR,3,Browser,1677USR
213,2023-06-07T00:00:00.000000000,Sochi,Uber,5860,623DR,2,Call-center,3744USR
214,2023-06-30T00:00:00.000000000,Sochi,Uber,2059,610DR,5,iOS,1794USR
215,2023-06-24T00:00:00.000000000,Moscow,Businnes,4431,885DR,5,Browser,906USR
216,2023-06-30T00:00:00.000000000,Ufa,Uber,5241,637DR,2,Call-center,1372USR
217,2023-06-30T00:00:00.000000000,Samara,Businnes,4458,210DR,3,Call-center,1584USR
218,2023-06-17T00:00:00.000000000,Barnaul,Econom,2530,358DR,2,Call-center,432USR
219,2023-06-18T00:00:00.000000000,Vladivostok,Minivan,1975,895DR,3,Android,3752USR
220,2023-06-28T00:00:00.000000000,Kaliningrad,Econom,728,460DR,4,Android,1073USR
221,2023-06-07T00:00:00.000000000,Barnaul,Uber,1137,843DR,1,Browser,1507USR
222,2023-06-23T00:00:00.000000000,Saint-Petersburg,Econom,344,240DR,4,Browser,3090USR
223,2023-06-02T00:00:00.000000000,Saint-Petersburg,Minivan,2167,298DR,3,iOS,1010USR
224,2023-06-27T00:00:00.000000000,Vladivostok,Businnes,4369,725DR,1,Call-center,1048USR
225,2023-06-12T00:00:00.000000000,Kazan,Econom,396,18DR,2,Android,2835USR
226,2023-06-17T00:00:00.000000000,Moscow,Uber,5657,676DR,2,Android,1277USR
227,2023-06-04T00:00:00.000000000,Sochi,Econom,2682,713DR,2,Browser,1691USR
228,2023-06-16T00:00:00.000000000,Vladivostok,Businnes,5183,722DR,5,Android,1203USR
229,2023-06-22T00:00:00.000000000,Barnaul,Businnes,1278,251DR,1,Browser,3106USR
230,2023-06-16T00:00:00.000000000,Krasnodar,Minivan,2828,382DR,1,Browser,3362USR
231,2023-06-23T00:00:00.000000000,Tver,Businnes,3379,623DR,1,Browser,3509USR
232,2023-06-21T00:00:00.000000000,Samara,Econom,2991,702DR,5,Browser,1120USR
233,2023-06-10T00:00:00.000000000,Tver,Uber,2942,515DR,5,Browser,1192USR
234,2023-06-29T00:00:00.000000000,Sochi,Econom,236,664DR,1,Call-center,3299USR
235,2023-06-21T00:00:00.000000000,Moscow,Minivan,3954,258DR,5,Android,1710USR
236,2023-06-20T00:00:00.000000000,Saint-Petersburg,Uber,1402,170DR,3,Browser,1649USR
237,2023-06-10T00:00:00.000000000,Ufa,Businnes,5014,5DR,5,iOS,227USR
238,2023-06-15T00:00:00.000000000,Saint-Petersburg,Uber,5367,815DR,1,Browser,2603USR
239,2023-06-11T00:00:00.000000000,Krasnodar,Businnes,4384,582DR,4,Call-center,2145USR
240,2023-06-01T00:00:00.000000000,Vladivostok,Econom,1010,678DR,4,iOS,3633USR
241,2023-06-18T00:00:00.000000000,Kaliningrad,Econom,252,389DR,1,iOS,1868USR
242,2023-06-30T00:00:00.000000000,Kazan,Minivan,814,435DR,1,Call-center,2640USR
243,2023-06-24T00:00:00.000000000,Barnaul,Minivan,7401,294DR,2,Android,1823USR
244,2023-06-08T00:00:00.000000000,Vladivostok,Econom,1294,285DR,4,iOS,3709USR
245,2023-06-24T00:00:00.000000000,Ufa,Econom,1584,228DR,4,Android,1585USR
246,2023-06-23T00:00:00.000000000,Kaliningrad,Minivan,3272,603DR,2,Android,2603USR
247,2023-06-14T00:00:00.000000000,Krasnodar,Minivan,6857,533DR,5,iOS,2355USR
248,2023-06-06T00:00:00.000000000,Vladivostok,Econom,2797,710DR,3,Call-center,1623USR
249,2023-06-29T00:00:00.000000000,Sochi,Uber,3780,830DR,3,Call-center,97USR
250,2023-06-07T00:00:00.000000000,Kaliningrad,Businnes,7912,721DR,3,Call-center,3397USR
251,2023-06-29T00:00:00.000000000,Kaliningrad,Businnes,4845,310DR,1,iOS,1290USR
252,2023-06-11T00:00:00.000000000,Saint-Petersburg,Econom,2917,834DR,5,Call-center,3523USR
253,2023-06-20T00:00:00.000000000,Kaliningrad,Businnes,3757,628DR,1,Android,282USR
254,2023-06-14T00:00:00.000000000,Ufa,Econom,295,487DR,2,Browser,3610USR
255,2023-06-29T00:00:00.000000000,Barnaul,Uber,2586,164DR,4,Call-center,2156USR
256,2023-06-01T00:00:00.000000000,Krasnodar,Uber,3677,131DR,5,Android,1696USR
257,2023-06-30T00:00:00.000000000,Vladivostok,Econom,1849,571DR,5,Browser,2788USR
258,2023-06-17T00:00:00.000000000,Samara,Econom,103,866DR,1,Android,2328USR
259,2023-06-30T00:00:00.000000000,Sochi,Businnes,5125,286DR,5,Android,3248USR
260,2023-06-13T00:00:00.000000000,Vladivostok,Minivan,5260,474DR,5,iOS,597USR
261,2023-06-16T00:00:00.000000000,Vladivostok,Econom,2852,707DR,5,Android,3981USR
262,2023-06-11T00:00:00.000000000,Saint-Petersburg,Businnes,3825,10DR,4,iOS,982USR
263,2023-06-12T00:00:00.000000000,Vladivostok,Businnes,2851,824DR,3,Call-center,3614USR
264,2023-06-16T00:00:00.000000000,Tver,Minivan,7085,243DR,5,iOS,2732USR
265,2023-06-26T00:00:00.000000000,Sochi,Businnes,2434,152DR,2,Call-center,1366USR
266,2023-06-20T00:00:00.000000000,Kazan,Uber,4343,792DR,2,Android,2782USR
267,2023-06-07T00:00:00.000000000,Krasnodar,Uber,5185,170DR,2,Call-center,2951USR
268,2023-06-24T00:00:00.000000000,Krasnodar,Businnes,7974,835DR,3,Android,2839USR
269,2023-06-10T00:00:00.000000000,Kazan,Businnes,3731,282DR,2,Browser,289USR
270,2023-06-14T00:00:00.000000000,Barnaul,Uber,2425,898DR,1,iOS,3418USR
271,2023-06-04T00:00:00.000000000,Vladivostok,Econom,1917,568DR,5,Android,1715USR
272,2023-06-06T00:00:00.000000000,Barnaul,Uber,4837,101DR,4,Android,948USR
273,2023-06-21T00:00:00.000000000,Krasnodar,Uber,2337,502DR,1,Call-center,3281USR
274,2023-06-12T00:00:00.000000000,Kaliningrad,Uber,2085,507DR,2,Call-center,812USR
275,2023-06-27T00:00:00.000000000,Kaliningrad,Uber,2825,664DR,4,Browser,1350USR
276,2023-06-28T00:00:00.000000000,Kaliningrad,Minivan,2508,859DR,5,iOS,2970USR
277,2023-06-28T00:00:00.000000000,Samara,Uber,4507,149DR,3,iOS,1518USR
278,2023-06-04T00:00:00.000000000,Kazan,Econom,385,394DR,1,Browser,2141USR
279,2023-06-17T00:00:00.000000000,Tver,Minivan,5888,747DR,1,Browser,536USR
280,2023-06-02T00:00:00.000000000,Krasnodar,Econom,788,271DR,3,iOS,3395USR
281,2023-06-13T00:00:00.000000000,Kaliningrad,Businnes,6796,511DR,5,Android,3396USR
282,2023-06-10T00:00:00.000000000,Sochi,Econom,2499,328DR,4,iOS,3806USR
283,2023-06-03T00:00:00.000000000,Barnaul,Econom,1842,492DR,5,Browser,3289USR
284,2023-06-09T00:00:00.000000000,Vladivostok,Minivan,3194,16DR,1,iOS,3353USR
285,2023-06-11T00:00:00.000000000,Samara,Businnes,2317,609DR,1,Browser,3903USR
286,2023-06-03T00:00:00.000000000,Saint-Petersburg,Uber,5497,507DR,4,Browser,1329USR
287,2023-06-16T00:00:00.000000000,Krasnodar,Businnes,5869,856DR,3,Call-center,76USR
288,2023-06-17T00:00:00.000000000,Vladivostok,Uber,4231,696DR,3,Call-center,1584USR
289,2023-06-26T00:00:00.000000000,Vladivostok,Uber,3502,788DR,2,iOS,2369USR
290,2023-06-18T00:00:00.000000000,Ufa,Econom,1975,330DR,5,Android,2551USR
291,2023-06-23T00:00:00.000000000,Tver,Uber,3436,822DR,4,Call-center,2629USR
292,2023-06-30T00:00:00.000000000,Ufa,Econom,2704,6DR,3,Call-center,3921USR
293,2023-06-08T00:00:00.000000000,Krasnodar,Uber,5959,67DR,1,iOS,2756USR
294,2023-06-29T00:00:00.000000000,Krasnodar,Econom,559,503DR,5,Call-center,502USR
