User id,Experience,Auto,Mode
204DR,19,Lada Vesta,Таксуя Жируя
205DR,16,Lada Vesta,Таксуя Жируя
206DR,10,Renault Logan,Поневоле мы за рулем
207DR,39,Renault Sandero,Челябинск Авто
208DR,10,Kia Sportage,Честный драйвер
209DR,33,Haval Jolion,Таксуя Жируя
210DR,30,Skoda Rapid,Такси Для Души
211DR,22,УАЗ Патриот,Челябинск Авто
212DR,38,Lada Granta,Таксасин
213DR,22,VW Polo,Челябинск Авто
214DR,9,Renault Sandero,Поневоле мы за рулем
215DR,7,VW Polo,Челябинск Авто
216DR,5,Geely Coolray,Топ парк ин зе ворлд
217DR,20,Haval Jolion,Ильич Авто
218DR,14,УАЗ Патриот,Таксасин
219DR,13,Nissan X-Trail,Ездоки
220DR,14,Renault Logan,Ильич Авто
221DR,32,Mazda CX-5,Честный драйвер
222DR,8,VW Polo,Таксуя Жируя
223DR,21,Lada Granta,Топ парк ин зе ворлд
224DR,9,Lada Vesta,Ездоки
225DR,34,Geely Coolray,Топ парк ин зе ворлд
226DR,30,Kia Seltos,Ездоки
227DR,36,Haval Jolion,Нормальный парк
228DR,36,Geely Atlas Pro,Топ парк ин зе ворлд
229DR,23,Nissan X-Trail,Ильич Авто
230DR,38,Lada Granta,Такси Для Души
231DR,22,Kia Sportage,АвтоПарк
232DR,22,Skoda Rapid,Нормальный парк
233DR,5,Mazda CX-5,Поневоле мы за рулем
234DR,28,Geely Coolray,Честный драйвер
235DR,9,Geely Atlas Pro,Нормальный парк
236DR,6,Hyundai Creta,Ездоки
237DR,36,Mazda CX-5,Честный драйвер
238DR,24,Toyota RAV4,СМЗ/ИП
239DR,39,Geely Coolray,СМЗ/ИП
240DR,17,Lada Vesta,Честный драйвер
241DR,6,Lada Niva,Понемногу Рулим
242DR,25,Lada Granta,Честный драйвер
243DR,36,Nissan Qashqai,Понемногу Рулим
244DR,28,Hyundai Tucson,Ильич Авто
245DR,20,Lada Vesta,АвтоПарк
246DR,32,Geely Coolray,Челябинск Авто
247DR,29,Nissan X-Trail,Понемногу Рулим
248DR,31,Lada Largus,Топ парк ин зе ворлд
249DR,38,Toyota RAV4,АвтоПарк
250DR,17,Renault Duster,Такси Для Души
251DR,39,Hyundai Creta,Ездоки
252DR,28,УАЗ Патриот,Такси Для Души
253DR,11,Mazda CX-5,АвтоПарк
254DR,21,Kia Seltos,Таксуя Жируя
255DR,37,Skoda Rapid,Ездоки
256DR,20,Hyundai Creta,Нормальный парк
257DR,21,Kia Seltos,Нормальный парк
258DR,14,Mazda CX-5,Таксуя Жируя
259DR,25,Toyota RAV4,Таксасин
260DR,17,Skoda Rapid,Честный драйвер
261DR,11,Renault Sandero,Нормальный парк
262DR,3,Hyundai Creta,Понемногу Рулим
263DR,32,Haval Jolion,Честный драйвер
264DR,27,Nissan Qashqai,Таксасин
265DR,33,Geely Coolray,Понемногу Рулим
266DR,25,VW Polo,Нормальный парк
267DR,22,Renault Duster,Поневоле мы за рулем
268DR,14,Lada Granta,Таксуя Жируя
269DR,9,Kia Rio,Понемногу Рулим
270DR,8,Lada Niva,Ездоки
271DR,27,Hyundai Creta,Ильич Авто
272DR,19,Geely Coolray,Таксасин
273DR,11,Hyundai Creta,Нормальный парк
274DR,17,Lada Vesta,СМЗ/ИП
275DR,17,Nissan Qashqai,Таксасин
276DR,22,Renault Logan,Поневоле мы за рулем
277DR,38,Nissan X-Trail,Такси Для Души
278DR,37,VW Polo,Ездоки
279DR,16,Kia Cerato,Ильич Авто
280DR,6,Renault Logan,Ильич Авто
281DR,32,УАЗ Патриот,Поневоле мы за рулем
282DR,37,Lada Vesta,Ильич Авто
283DR,35,Kia Sportage,АвтоПарк
284DR,30,Renault Duster,Челябинск Авто
285DR,40,Kia Rio,Нормальный парк
286DR,25,Nissan X-Trail,Такси Для Души
287DR,34,Lada Largus,Честный драйвер
288DR,11,Hyundai Solaris,Ильич Авто
289DR,28,Toyota RAV4,Челябинск Авто
290DR,4,Hyundai Creta,Ильич Авто
291DR,19,Hyundai Solaris,Топ парк ин зе ворлд
292DR,30,Renault Duster,Честный драйвер
293DR,34,Geely Coolray,Честный драйвер
294DR,3,Lada Largus,Топ парк ин зе ворлд
295DR,3,Kia Cerato,Таксасин
296DR,23,Kia Seltos,АвтоПарк
297DR,33,Lada Granta,Понемногу Рулим
298DR,40,Nissan X-Trail,Такси Для Души
299DR,40,Haval Jolion,АвтоПарк
300DR,12,Hyundai Solaris,Топ парк ин зе ворлд
301DR,13,Renault Sandero,АвтоПарк
302DR,6,Lada Vesta,Поневоле мы за рулем
303DR,4,Renault Logan,Нормальный парк
304DR,33,Kia Cerato,АвтоПарк
305DR,13,Renault Duster,Нормальный парк
306DR,21,Toyota RAV4,АвтоПарк
307DR,7,Renault Logan,Поневоле мы за рулем
308DR,21,Nissan Qashqai,Понемногу Рулим
309DR,24,Lada Largus,Ильич Авто
310DR,14,Renault Logan,Понемногу Рулим
311DR,22,Geely Atlas Pro,Такси Для Души
312DR,16,Geely Coolray,Нормальный парк
313DR,15,Hyundai Tucson,Челябинск Авто
314DR,34,Mazda CX-5,Такси Для Души
315DR,28,Hyundai Solaris,Ездоки
316DR,21,Kia Cerato,СМЗ/ИП
317DR,5,Haval F7,Понемногу Рулим
318DR,39,Toyota RAV4,Поневоле мы за рулем
319DR,21,Renault Logan,Такси Для Души
320DR,14,Hyundai Tucson,Понемногу Рулим
321DR,3,Haval F7,Нормальный парк
322DR,29,Geely Atlas Pro,Понемногу Рулим
323DR,35,Nissan Qashqai,Понемногу Рулим
324DR,22,Toyota RAV4,Ездоки
325DR,22,Nissan Qashqai,Ездоки
326DR,11,Hyundai Tucson,СМЗ/ИП
327DR,35,Kia Sportage,Поневоле мы за рулем
328DR,31,Lada Largus,Таксуя Жируя
329DR,14,Kia Seltos,Поневоле мы за рулем
330DR,25,Haval F7,Поневоле мы за рулем
331DR,17,Nissan X-Trail,Топ парк ин зе ворлд
332DR,4,Renault Duster,СМЗ/ИП
333DR,23,Skoda Rapid,СМЗ/ИП
334DR,26,Kia Sportage,Ильич Авто
335DR,8,Hyundai Tucson,Таксасин
336DR,25,Nissan X-Trail,Таксасин
337DR,26,Renault Duster,Челябинск Авто
338DR,26,Nissan Qashqai,Ездоки
339DR,25,УАЗ Патриот,СМЗ/ИП
340DR,12,Renault Logan,Поневоле мы за рулем
341DR,34,Haval F7,Топ парк ин зе ворлд
342DR,14,Haval Jolion,Ездоки
343DR,28,Kia Rio,Таксуя Жируя
344DR,29,VW Polo,Понемногу Рулим
345DR,39,Haval Jolion,Поневоле мы за рулем
346DR,37,Toyota RAV4,Ильич Авто
347DR,19,Lada Largus,Нормальный парк
348DR,24,Nissan X-Trail,Нормальный парк
349DR,10,Hyundai Solaris,Ильич Авто
350DR,40,Renault Logan,Понемногу Рулим
351DR,21,Lada Niva,СМЗ/ИП
352DR,19,Nissan Qashqai,Честный драйвер
353DR,21,Renault Logan,Челябинск Авто
354DR,39,Nissan X-Trail,Челябинск Авто
355DR,4,Toyota RAV4,Честный драйвер
356DR,17,УАЗ Патриот,Честный драйвер
357DR,4,Hyundai Tucson,Нормальный парк
358DR,9,Lada Vesta,Таксуя Жируя
359DR,28,VW Polo,АвтоПарк
360DR,4,Toyota RAV4,Таксасин
361DR,27,Lada Granta,Такси Для Души
362DR,30,Lada Largus,Таксасин
363DR,14,Skoda Rapid,АвтоПарк
364DR,6,УАЗ Патриот,Таксасин
365DR,40,Lada Niva,Челябинск Авто
366DR,17,Mazda CX-5,Такси Для Души
367DR,21,Nissan X-Trail,АвтоПарк
368DR,18,УАЗ Патриот,Ездоки
369DR,36,Geely Atlas Pro,Ездоки
370DR,33,Lada Vesta,Понемногу Рулим
371DR,35,Kia Cerato,Ездоки
372DR,40,Geely Coolray,Понемногу Рулим
373DR,10,Geely Atlas Pro,Нормальный парк
374DR,40,Hyundai Solaris,Понемногу Рулим
375DR,39,Kia Rio,Честный драйвер
376DR,3,Nissan X-Trail,Честный драйвер
377DR,36,Mazda CX-5,Таксасин
378DR,31,Kia Rio,Нормальный парк
379DR,28,Kia Cerato,Таксасин
380DR,3,Kia Seltos,Нормальный парк
381DR,20,VW Polo,Честный драйвер
382DR,26,Renault Duster,Ильич Авто
383DR,13,Skoda Rapid,Челябинск Авто
384DR,10,Renault Sandero,Честный драйвер
385DR,34,Lada Largus,Ильич Авто
386DR,30,Skoda Rapid,Челябинск Авто
387DR,15,Mazda CX-5,Поневоле мы за рулем
388DR,19,Hyundai Solaris,Ездоки
389DR,8,Hyundai Solaris,Топ парк ин зе ворлд
390DR,21,Hyundai Solaris,Такси Для Души
391DR,23,Renault Sandero,Честный драйвер
392DR,17,Hyundai Solaris,Понемногу Рулим
393DR,37,Kia Sportage,Ильич Авто
394DR,4,VW Polo,Таксуя Жируя
395DR,38,Haval F7,Честный драйвер
396DR,10,Geely Atlas Pro,Топ парк ин зе ворлд
397DR,25,Lada Granta,Челябинск Авто
398DR,25,Kia Seltos,Топ парк ин зе ворлд
399DR,18,Nissan X-Trail,Ильич Авто
400DR,25,УАЗ Патриот,Таксасин
401DR,6,Haval F7,Ездоки
402DR,34,Lada Granta,Таксасин
403DR,35,Kia Seltos,СМЗ/ИП
404DR,23,Hyundai Creta,СМЗ/ИП
405DR,21,Kia Cerato,Понемногу Рулим
406DR,26,Lada Vesta,Ильич Авто
407DR,12,Haval Jolion,Честный драйвер
408DR,10,Geely Coolray,Понемногу Рулим
409DR,37,Hyundai Tucson,Ездоки
410DR,10,Mazda CX-5,Ильич Авто
411DR,32,Kia Cerato,Ездоки
412DR,17,Kia Cerato,Ильич Авто
413DR,19,Geely Atlas Pro,Ильич Авто
414DR,7,Hyundai Tucson,Поневоле мы за рулем
415DR,12,Renault Duster,Ильич Авто
416DR,9,Toyota RAV4,АвтоПарк
417DR,27,Hyundai Creta,СМЗ/ИП
418DR,12,Hyundai Creta,Ильич Авто
419DR,31,Renault Sandero,Таксасин
420DR,3,Kia Seltos,Таксуя Жируя
421DR,26,Geely Atlas Pro,Челябинск Авто
422DR,39,Toyota RAV4,Таксасин
423DR,6,Mazda CX-5,Таксуя Жируя
424DR,32,Nissan X-Trail,Топ парк ин зе ворлд
425DR,14,Skoda Rapid,Ездоки
426DR,25,Hyundai Tucson,Честный драйвер
427DR,4,Haval Jolion,Челябинск Авто
428DR,4,Lada Vesta,Таксасин
429DR,10,Skoda Rapid,Топ парк ин зе ворлд
430DR,16,Mazda CX-5,Таксасин
431DR,36,Geely Coolray,Ездоки
432DR,28,Hyundai Creta,Таксасин
433DR,29,Kia Rio,Таксуя Жируя
434DR,15,Nissan Qashqai,СМЗ/ИП
435DR,10,Kia Seltos,Поневоле мы за рулем
436DR,31,УАЗ Патриот,Нормальный парк
437DR,39,Haval Jolion,Ильич Авто
438DR,26,Toyota RAV4,Честный драйвер
439DR,15,Geely Coolray,Нормальный парк
440DR,14,Hyundai Tucson,Поневоле мы за рулем
441DR,18,Kia Seltos,Таксуя Жируя
442DR,34,УАЗ Патриот,СМЗ/ИП
443DR,33,Hyundai Creta,Поневоле мы за рулем
444DR,30,Renault Duster,Такси Для Души
445DR,34,Kia Seltos,Такси Для Души
446DR,25,Hyundai Solaris,Топ парк ин зе ворлд
447DR,13,Nissan X-Trail,Челябинск Авто
448DR,15,Lada Vesta,Челябинск Авто
449DR,26,Geely Atlas Pro,АвтоПарк
450DR,30,Nissan Qashqai,АвтоПарк
451DR,8,Lada Vesta,Нормальный парк
452DR,35,Haval Jolion,Топ парк ин зе ворлд
453DR,32,Mazda CX-5,Такси Для Души
454DR,28,Kia Sportage,АвтоПарк
455DR,37,VW Polo,АвтоПарк
456DR,29,Lada Granta,Нормальный парк
457DR,29,Lada Niva,Такси Для Души
458DR,28,Kia Seltos,АвтоПарк
459DR,34,Lada Largus,Челябинск Авто
460DR,20,Hyundai Solaris,Поневоле мы за рулем
461DR,21,Kia Cerato,Нормальный парк
462DR,35,Renault Logan,АвтоПарк
463DR,15,Kia Cerato,Челябинск Авто
464DR,4,Renault Sandero,Ездоки
465DR,16,Haval Jolion,Честный драйвер
466DR,9,Kia Cerato,Челябинск Авто
467DR,40,Lada Niva,Ильич Авто
468DR,24,Renault Sandero,Таксуя Жируя
469DR,35,Hyundai Solaris,Понемногу Рулим
470DR,4,Geely Atlas Pro,Таксасин
471DR,14,Mazda CX-5,Топ парк ин зе ворлд
472DR,20,Geely Atlas Pro,Таксуя Жируя
473DR,18,Kia Sportage,Нормальный парк
474DR,28,Nissan Qashqai,АвтоПарк
475DR,12,Lada Niva,Поневоле мы за рулем
476DR,22,Renault Duster,Ильич Авто
477DR,3,Mazda CX-5,Таксуя Жируя
478DR,36,Renault Duster,Таксасин
479DR,20,Nissan Qashqai,Честный драйвер
480DR,40,Haval Jolion,Ездоки
481DR,32,VW Polo,Поневоле мы за рулем
482DR,14,Mazda CX-5,Честный драйвер
483DR,22,Skoda Rapid,Нормальный парк
484DR,29,Haval F7,Такси Для Души
485DR,16,Nissan Qashqai,Ильич Авто
486DR,35,Skoda Rapid,Таксасин
487DR,36,Mazda CX-5,Такси Для Души
488DR,35,Renault Sandero,Топ парк ин зе ворлд
489DR,21,Nissan X-Trail,Такси Для Души
490DR,23,Lada Niva,Честный драйвер
491DR,35,Kia Rio,Челябинск Авто
492DR,31,Haval Jolion,Ездоки
493DR,29,УАЗ Патриот,Нормальный парк
494DR,15,Kia Seltos,Понемногу Рулим
495DR,38,Lada Vesta,Топ парк ин зе ворлд
496DR,20,Hyundai Solaris,Понемногу Рулим
497DR,23,Geely Coolray,Честный драйвер
498DR,18,VW Polo,Топ парк ин зе ворлд
499DR,10,Geely Atlas Pro,Таксуя Жируя
500DR,5,VW Polo,Честный драйвер
501DR,30,Renault Logan,Таксуя Жируя
502DR,19,Haval F7,Таксуя Жируя
503DR,6,Renault Sandero,Поневоле мы за рулем
504DR,20,Lada Largus,Ильич Авто
505DR,5,Skoda Rapid,Ильич Авто
506DR,24,Haval Jolion,СМЗ/ИП
507DR,40,Haval F7,АвтоПарк
508DR,34,VW Polo,Ильич Авто
509DR,17,Renault Sandero,Поневоле мы за рулем
510DR,15,Hyundai Solaris,Нормальный парк
511DR,6,УАЗ Патриот,Челябинск Авто
512DR,33,Lada Granta,Челябинск Авто
513DR,27,Lada Granta,СМЗ/ИП
514DR,3,Renault Duster,Поневоле мы за рулем
515DR,38,Kia Cerato,Таксуя Жируя
516DR,19,Skoda Rapid,Честный драйвер
517DR,38,Nissan Qashqai,Таксасин
518DR,39,Geely Coolray,Нормальный парк
519DR,28,Skoda Rapid,Таксуя Жируя
520DR,4,Lada Largus,Понемногу Рулим
521DR,21,Kia Rio,СМЗ/ИП
522DR,33,Hyundai Tucson,Топ парк ин зе ворлд
523DR,16,Geely Atlas Pro,Нормальный парк
524DR,16,VW Polo,Такси Для Души
525DR,27,Renault Duster,Таксуя Жируя
526DR,36,Hyundai Creta,Поневоле мы за рулем
527DR,19,УАЗ Патриот,Такси Для Души
528DR,27,Nissan Qashqai,Челябинск Авто
529DR,7,Lada Largus,Понемногу Рулим
530DR,23,Nissan X-Trail,Ездоки
531DR,11,Hyundai Creta,Поневоле мы за рулем
532DR,23,Lada Granta,АвтоПарк
533DR,9,Toyota RAV4,АвтоПарк
534DR,24,Haval F7,Челябинск Авто
535DR,39,Mazda CX-5,Топ парк ин зе ворлд
536DR,24,Hyundai Solaris,Поневоле мы за рулем
537DR,11,Kia Seltos,Таксуя Жируя
538DR,36,VW Polo,СМЗ/ИП
539DR,25,Hyundai Creta,Такси Для Души
540DR,29,Nissan X-Trail,Таксасин
541DR,13,Kia Sportage,Топ парк ин зе ворлд
542DR,33,УАЗ Патриот,Челябинск Авто
543DR,39,Lada Granta,Честный драйвер
544DR,29,Haval F7,АвтоПарк
545DR,16,Hyundai Solaris,Челябинск Авто
546DR,40,Nissan X-Trail,Такси Для Души
547DR,23,Skoda Rapid,Такси Для Души
548DR,4,Kia Sportage,Такси Для Души
549DR,23,Renault Duster,АвтоПарк
550DR,13,Nissan X-Trail,Честный драйвер
551DR,8,Haval F7,Таксасин
552DR,9,Renault Logan,Такси Для Души
553DR,31,Mazda CX-5,Таксасин
554DR,29,Mazda CX-5,Поневоле мы за рулем
555DR,33,Lada Vesta,АвтоПарк
556DR,35,Nissan Qashqai,Поневоле мы за рулем
557DR,28,Lada Niva,Таксуя Жируя
558DR,12,Mazda CX-5,Ильич Авто
559DR,23,Lada Niva,Ездоки
560DR,30,Renault Duster,Таксуя Жируя
561DR,15,Haval Jolion,СМЗ/ИП
562DR,36,Kia Sportage,СМЗ/ИП
563DR,6,Geely Atlas Pro,Ездоки
564DR,32,Nissan Qashqai,Понемногу Рулим
565DR,26,Lada Vesta,Поневоле мы за рулем
566DR,36,Geely Atlas Pro,Ездоки
567DR,39,Haval F7,Нормальный парк
568DR,3,Geely Coolray,Нормальный парк
569DR,3,Kia Sportage,Таксасин
570DR,30,Renault Duster,Таксуя Жируя
571DR,9,УАЗ Патриот,Таксасин
572DR,35,Lada Granta,Ездоки
573DR,22,Geely Coolray,Понемногу Рулим
574DR,17,Geely Atlas Pro,Нормальный парк
575DR,19,УАЗ Патриот,Таксуя Жируя
576DR,21,Hyundai Creta,Топ парк ин зе ворлд
577DR,11,Nissan Qashqai,Честный драйвер
578DR,33,Nissan X-Trail,Поневоле мы за рулем
579DR,3,Haval F7,Такси Для Души
580DR,24,Geely Atlas Pro,Челябинск Авто
581DR,34,Geely Atlas Pro,АвтоПарк
582DR,17,VW Polo,Таксасин
583DR,23,Geely Coolray,Понемногу Рулим
584DR,32,VW Polo,Такси Для Души
585DR,27,Haval F7,Ездоки
586DR,6,Kia Sportage,АвтоПарк
587DR,27,Haval F7,Ездоки
588DR,17,Hyundai Solaris,Такси Для Души
589DR,34,Renault Duster,Честный драйвер
590DR,6,Toyota RAV4,Таксуя Жируя
591DR,19,Renault Sandero,АвтоПарк
592DR,39,Skoda Rapid,СМЗ/ИП
593DR,22,Kia Seltos,Челябинск Авто
594DR,20,Hyundai Solaris,Понемногу Рулим
595DR,21,Kia Rio,Поневоле мы за рулем
596DR,37,Lada Granta,Топ парк ин зе ворлд
597DR,35,Geely Coolray,Честный драйвер
598DR,18,Lada Vesta,Ильич Авто
599DR,26,Kia Rio,Топ парк ин зе ворлд
600DR,15,Renault Duster,Поневоле мы за рулем
601DR,37,Skoda Rapid,Таксасин
602DR,18,Haval Jolion,Челябинск Авто
